UNIT_NBR,STEP_SEQ_ID,STEP_PROG_NAME
1,1,PKGIDS_CMMN_UTILITY.PROCIDS_JOB_START
1,2,pkgids_ptf_hrchy_processing.Procids_delete_job_set_nbr
1,3,PKGIDS_PTF_EXTR.ext_static_ptf_table
1,4,PKGIDS_PTF_EXTR.ext_eff_ptf_table
1,5,pkgids_ptf_hrchy_processing.procids_get_tree_a
1,6,pkgids_ptf_hrchy_processing.procids_get_tree_b
1,7,pkgids_ptf_hrchy_processing.procids_get_tree_c
1,8,pkgids_ptf_hrchy_processing.procids_get_tree_d
1,9,pkgids_ptf_hrchy_processing.procids_get_tree_e
1,10,pkgids_ptf_hrchy_processing.procids_get_active_portf
1,11,pkgids_ptf_lineage.procids_process_ptf_lineage
1,12,pkgids_ptf_lineage.procids_summary_to_bookable_rs
1,13,PKGIDS_CMMN_UTILITY.PROCIDS_JOB_END